species_name,class,max_obs_length_cm
Coscinasterias muricata,Asteroidea,7.5
Cristiceps aurantiacus,Actinopterygii,7.5
Crossosalarias macrospilus,Actinopterygii,7.5
Ctenogobiops pomastictus,Actinopterygii,7.5
Culcita novaeguineae,Asteroidea,7.5
Dascyllus aruanus,Actinopterygii,7.5
Dascyllus trimaculatus,Actinopterygii,7.5
Dermatobranchus dendronephthyphagus,Gastropoda,7.5
Diadema palmeri,Echinoidea,7.5
Doriprismatica atromarginata,Gastropoda,7.5
Ecsenius bicolor,Actinopterygii,7.5
Ecsenius fourmanoiri,Actinopterygii,7.5
Elysia tomentosa,Gastropoda,7.5
Flabellina rubrolineata,Gastropoda,7.5
Fromia polypora,Asteroidea,7.5
Gomophia watsoni,Asteroidea,7.5
Goniobranchus albonares,Gastropoda,7.5
Goniobranchus aureopurpureus,Gastropoda,7.5
Goniobranchus daphne,Gastropoda,7.5
Goniobranchus decorus,Gastropoda,7.5
Goniobranchus hunterae,Gastropoda,7.5
Goniobranchus reticulatus,Gastropoda,7.5
