ecoregion,site_code,bin_mid,norm_density,lat,lon
Cape Howe,KG-S4,154.509667991878,0.00513963434177084,-39.46456909,147.2946625
Bassian,NIN-S1,154.509667991878,0.000377220869120796,-43.27292,147.14343
Bassian,NIN-S2,154.509667991878,0.000433803999488915,-43.29383,147.14182
Cape Howe,NSW47,154.509667991878,0.000924191129345949,-37.10968,149.92238
Cape Howe,NSW5,154.509667991878,0.000528109216769114,-37.10036,149.9285
Manning-Hawkesbury,PS13,154.509667991878,0.00129057693094945,-32.71802,152.14133
Manning-Hawkesbury,PS17,154.509667991878,0.00359124462561622,-32.714463,152.15183
Torres Strait Northern Great Barrier Reef,QLD43,154.509667991878,0.00283858704013399,-14.69473,145.45921
Torres Strait Northern Great Barrier Reef,QLD44,154.509667991878,0.00135799512883486,-14.68942,145.46617
Torres Strait Northern Great Barrier Reef,QLD48,154.509667991878,0.00120710678118655,-14.68689,145.44195
Torres Strait Northern Great Barrier Reef,QLD51,154.509667991878,0.00119453275221585,-14.65706,145.45076
Tweed-Moreton,SI21,154.509667991878,0.012117172584758,-30.00751,153.27028
Tweed-Moreton,SI29,154.509667991878,0.00494159338548242,-29.98321,153.2278
Tweed-Moreton,SI6,154.509667991878,0.00313950641527353,-30.01765,153.2692
Manning-Hawkesbury,SYD1,154.509667991878,0.000339498782208716,-33.85186,151.21997
Manning-Hawkesbury,SYD3,154.509667991878,0.000641275477505353,-33.86328,151.24196
Manning-Hawkesbury,SYD30,154.509667991878,0.00173521599795566,-33.841655,151.253968
Manning-Hawkesbury,SYD31,154.509667991878,0.00298423620904452,-33.840111,151.277492
Manning-Hawkesbury,SYD37,154.509667991878,0.00313673661168908,-33.83036,151.26378
Manning-Hawkesbury,SYD6,154.509667991878,0.000502961158827728,-33.85595,151.26602
Manning-Hawkesbury,SYD9,154.509667991878,0.000924191129345949,-33.852053,151.263956
Bassian,TAS26,154.509667991878,0.000226332521472477,-43.14242,147.29123
Bassian,TAS43,154.509667991878,0.000792163825153671,-43.08944,147.30101
Bassian,TAS84,154.509667991878,0.0105244622484702,-41.87563,148.31159
Bassian,TAS88,154.509667991878,0.000226332521472477,-41.87094,148.31732
Cape Howe,BS-S8,218.509667991878,0.000560144412576835,-39.21514893,146.9923859
Bassian,DE4,218.509667991878,0.000426776695296636,-42.90611,147.3447
Bassian,DE46,218.509667991878,0.000284517796864424,-42.861017,147.3501
Bassian,DE7,218.509667991878,0.000106694173824159,-43.01334,147.33089
Lord Howe and Norfolk Islands,EMR1,218.509667991878,0.00153372874872229,-29.45103,159.06227
Lord Howe and Norfolk Islands,EMR18,218.509667991878,0.000160041260736239,-29.92554,159.0511
Lord Howe and Norfolk Islands,EMR2,218.509667991878,0.00160041260736239,-29.45683,159.0622
Lord Howe and Norfolk Islands,EMR20,218.509667991878,0.000620159885352925,-29.93192,159.06155
Lord Howe and Norfolk Islands,EMR25,218.509667991878,0.000326750907336487,-29.91181,159.08131
Lord Howe and Norfolk Islands,EMR37,218.509667991878,0.000600154727760895,-29.48267,159.06495
Lord Howe and Norfolk Islands,EMR42,218.509667991878,0.00189382158537882,-29.94249,159.0847
Lord Howe and Norfolk Islands,EMR5,218.509667991878,0.000746859216769114,-29.44269,159.06088
